j_name,j_code,j_url,j_big_type,j_small_type
心理学探新,XLXT,https://epub.cnki.net/kns/oldnavi/n_item.aspx?NaviID=31&BaseID=XLXT&NaviLink=%e5%bf%83%e7%90%86%e5%ad%a6-%2fkns%2foldnavi%2fn_list.aspx%3fNaviID%3d31%26Field%3dhx_sort%26Value%3d00010003%253F%26OrderBy%3didno%7c%e5%bf%83%e7%90%86%e5%ad%a6%e6%8e%a2%e6%96%b0,['综合性人文、社会科学'],心理学
心理与行为研究,CLXW,https://epub.cnki.net/kns/oldnavi/n_item.aspx?NaviID=31&BaseID=CLXW&NaviLink=%e5%bf%83%e7%90%86%e5%ad%a6-%2fkns%2foldnavi%2fn_list.aspx%3fNaviID%3d31%26Field%3dhx_sort%26Value%3d00010003%253F%26OrderBy%3didno%7c%e5%bf%83%e7%90%86%e4%b8%8e%e8%a1%8c%e4%b8%ba%e7%a0%94%e7%a9%b6,['综合性人文、社会科学'],心理学
中国宗教,ZGZJ,https://epub.cnki.net/kns/oldnavi/n_item.aspx?NaviID=31&BaseID=ZGZJ&NaviLink=%e5%ae%97%e6%95%99-%2fkns%2foldnavi%2fn_list.aspx%3fNaviID%3d31%26Field%3dhx_sort%26Value%3d00010004%253F%26OrderBy%3didno%7c%e4%b8%ad%e5%9b%bd%e5%ae%97%e6%95%99,['综合性人文、社会科学'],宗教
宗教学研究,ZJYJ,https://epub.cnki.net/kns/oldnavi/n_item.aspx?NaviID=31&BaseID=ZJYJ&NaviLink=%e5%ae%97%e6%95%99-%2fkns%2foldnavi%2fn_list.aspx%3fNaviID%3d31%26Field%3dhx_sort%26Value%3d00010004%253F%26OrderBy%3didno%7c%e5%ae%97%e6%95%99%e5%ad%a6%e7%a0%94%e7%a9%b6,['综合性人文、社会科学'],宗教
回族研究,HZYJ,https://epub.cnki.net/kns/oldnavi/n_item.aspx?NaviID=59&BaseID=HZYJ&NaviLink=%e5%ae%97%e6%95%99-%2fkns%2foldnavi%2fn_list.aspx%3fNaviID%3d31%26Field%3dhx_sort%26Value%3d00010004%253F%26OrderBy%3didno%7c%e5%9b%9e%e6%97%8f%e7%a0%94%e7%a9%b6,['综合性人文、社会科学'],宗教
世界宗教研究,WORL,https://epub.cnki.net/kns/oldnavi/n_item.aspx?NaviID=31&BaseID=WORL&NaviLink=%e5%ae%97%e6%95%99-%2fkns%2foldnavi%2fn_list.aspx%3fNaviID%3d31%26Field%3dhx_sort%26Value%3d00010004%253F%26OrderBy%3didno%7c%e4%b8%96%e7%95%8c%e5%ae%97%e6%95%99%e7%a0%94%e7%a9%b6,['综合性人文、社会科学'],宗教
中国道教,DAJA,https://epub.cnki.net/kns/oldnavi/n_item.aspx?NaviID=31&BaseID=DAJA&NaviLink=%e5%ae%97%e6%95%99-%2fkns%2foldnavi%2fn_list.aspx%3fNaviID%3d31%26Field%3dhx_sort%26Value%3d00010004%253F%26OrderBy%3didno%7c%e4%b8%ad%e5%9b%bd%e9%81%93%e6%95%99,['综合性人文、社会科学'],宗教
世界宗教文化,RELI,https://epub.cnki.net/kns/oldnavi/n_item.aspx?NaviID=31&BaseID=RELI&NaviLink=%e5%ae%97%e6%95%99-%2fkns%2foldnavi%2fn_list.aspx%3fNaviID%3d31%26Field%3dhx_sort%26Value%3d00010004%253F%26OrderBy%3didno%7c%e4%b8%96%e7%95%8c%e5%ae%97%e6%95%99%e6%96%87%e5%8c%96,['综合性人文、社会科学'],宗教
数理统计与管理,SLTJ,https://epub.cnki.net/kns/oldnavi/n_item.aspx?NaviID=31&BaseID=SLTJ&NaviLink=%e7%bb%9f%e8%ae%a1%e5%ad%a6-%2fkns%2foldnavi%2fn_list.aspx%3fNaviID%3d31%26Field%3dhx_sort%26Value%3d00010005%253F%26OrderBy%3didno%7c%e6%95%b0%e7%90%86%e7%bb%9f%e8%ae%a1%e4%b8%8e%e7%ae%a1%e7%90%86,['综合性人文、社会科学'],统计学
统计与决策,TJJC,https://epub.cnki.net/kns/oldnavi/n_item.aspx?NaviID=31&BaseID=TJJC&NaviLink=%e7%bb%9f%e8%ae%a1%e5%ad%a6-%2fkns%2foldnavi%2fn_list.aspx%3fNaviID%3d31%26Field%3dhx_sort%26Value%3d00010005%253F%26OrderBy%3didno%7c%e7%bb%9f%e8%ae%a1%e4%b8%8e%e5%86%b3%e7%ad%96,['综合性人文、社会科学'],统计学
